pid, tgid, active partition, task partition, time, 10240:cf2cf7b8
3,3,0,0,4294912952,
384,384,0,0,4294912952,
3,3,0,0,4294912953,
385,385,0,0,4294912953,
3,3,0,0,4294912954,
384,384,0,0,4294912954,
3,3,0,0,4294912955,
385,385,0,0,4294912955,
3,3,0,0,4294912956,
384,384,0,0,4294912956,
3,3,0,0,4294912957,
385,385,0,0,4294912957,
3,3,0,0,4294912958,
384,384,0,0,4294912958,
3,3,0,0,4294912959,
385,385,0,0,4294912959,
3,3,0,0,4294912960,
384,384,0,0,4294912960,
3,3,0,0,4294912961,
385,385,0,0,4294912961,
3,3,0,0,4294912962,
384,384,0,0,4294912962,
3,3,0,0,4294912963,
385,385,0,0,4294912963,
3,3,0,0,4294912964,
384,384,0,0,4294912964,
3,3,0,0,4294912965,
385,385,0,0,4294912965,
3,3,0,0,4294912966,
384,384,0,0,4294912966,
3,3,0,0,4294912967,
385,385,0,0,4294912967,
3,3,0,0,4294912968,
384,384,0,0,4294912968,
3,3,0,0,4294912969,
385,385,0,0,4294912969,
3,3,0,0,4294912970,
384,384,0,0,4294912970,
3,3,0,0,4294912971,
385,385,0,0,4294912971,
3,3,0,0,4294912972,
384,384,0,0,4294912972,
3,3,0,0,4294912973,
385,385,0,0,4294912973,
3,3,0,0,4294912974,
384,384,0,0,4294912974,
3,3,0,0,4294912975,
385,385,0,0,4294912975,
3,3,0,0,4294912976,
384,384,0,0,4294912976,
3,3,0,0,4294912977,
385,385,0,0,4294912977,
3,3,0,0,4294912978,
384,384,0,0,4294912978,
3,3,0,0,4294912979,
385,385,0,0,4294912979,
3,3,0,0,4294912980,
384,384,0,0,4294912980,
3,3,0,0,4294912981,
385,385,0,0,4294912981,
3,3,0,0,4294912982,
384,384,0,0,4294912982,
3,3,0,0,4294912983,
385,385,0,0,4294912983,
3,3,0,0,4294912984,
384,384,0,0,4294912984,
3,3,0,0,4294912985,
385,385,0,0,4294912985,
3,3,0,0,4294912986,
384,384,0,0,4294912986,
3,3,0,0,4294912987,
385,385,0,0,4294912987,
3,3,0,0,4294912988,
384,384,0,0,4294912988,
3,3,0,0,4294912989,
385,385,0,0,4294912989,
3,3,0,0,4294912990,
384,384,0,0,4294912990,
3,3,0,0,4294912991,
385,385,0,0,4294912991,
3,3,0,0,4294912992,
384,384,0,0,4294912992,
3,3,0,0,4294912993,
385,385,0,0,4294912993,
3,3,0,0,4294912994,
384,384,0,0,4294912994,
3,3,0,0,4294912995,
385,385,0,0,4294912995,
3,3,0,0,4294912996,
384,384,0,0,4294912996,
3,3,0,0,4294912997,
385,385,0,0,4294912997,
3,3,0,0,4294912998,
384,384,0,0,4294912998,
3,3,0,0,4294912999,
